College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
RD Engineering College Research Centre,Co-Ed,,,92,2011,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Library, Laboratories",Ghaziabad,Uttar Pradesh,India,Private,292000.0
Shri PD Patil College of Engineering,Co-Ed,,,,2006,,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","B.Tech Electrical Engineering, B.Tech Mechanical Engineering","Library, IT Infrastructure, Laboratories",Paldhi,Maharashtra,India,Private,198000.0
Navneet Bahuuddeshya Sanstha,Co-Ed,,320,45,2010,,,,"Boys Hostel, Girls Hostel, Library, Cafeteria, Wifi, IT Infrastructure, Laboratories",Wardha,Maharashtra,India,Private,132000.0
Manajiraje Bhosale Technical Campus,Co-Ed,,,,2000,,"Shivaji University, Kolhapur","B.Tech Mechanical Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering","Library, Cafeteria, Medical/Hospital, IT Infrastructure",Uran Islampur,Maharashtra,India,Private,190800.0
VKK Vijayan College of Engineering,Co-Ed,,,25,2005,,"Anna University, Chennai",B.Tech Electronics and Communication Engineering,"Boys Hostel, Girls Hostel, Library, Sports, IT Infrastructure, Laboratories",Kanchipuram,Tamil Nadu,India,Private,160000.0
Renganayagi Varatharaj College of Engineering,Co-Ed,27 Acres,861,125,2011,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Salvarpatti,Tamil Nadu,India,Private,160000.0
Oxford College of Engineering,Co-Ed,,415,88,2009,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Venmani,Tamil Nadu,India,Private,130000.0
Jairupaa College of Engineering,Co-Ed,,459,73,2012,,"Anna University, Chennai",,"Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Tiruppur,Tamil Nadu,India,Private,160000.0
Hosur Institute of Technology and Science,Co-Ed,,194,60,2012,,"Anna University, Chennai","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room",Mallanakothur,Tamil Nadu,India,Private,75000.0
Patanam Rajender Reddy Memorial Engineering College,Co-Ed,,,78,1998,,"Jawaharlal Nehru Technological University, Hyderabad","B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Library, IT Infrastructure, Laboratories",Shahabad,Telangana,India,Private,100791.66666666667
Pratnam Rajendar Reddy Memorial College,Co-Ed,,356,78,1998,,"Jawaharlal Nehru Technological University, Hyderabad",,"Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Shahabad,Telangana,India,Private,100791.66666666667
College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,,Facilities,City,State,Country,College Type,Average Fees
Kandula Srinivasa Reddy College of Engineering,Co-Ed,35 Acres,2735,227,1980,,"Jawaharlal Nehru Technological University, Anantapur","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Krishnapuram Village,Andhra Pradesh,India,Private,202500.0
Chadalwada Venkta Subbaiah College of Engineering,Co-Ed,,346,54,2008,,"Jawaharlal Nehru Technological University, Anantapur","B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Laboratories",Tirupati,Andhra Pradesh,India,Private,100166.66666666667
RIMT- College of Architecture,Co-Ed,,119,22,2004,,"RIMT University, Gobindgarh",,"Boys Hostel, Girls Hostel, Gym, Library, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Fatehgarh Sahib,Punjab,India,Private,323200.0
BLM Institute of Technology and Management Sciences,Co-Ed,,,49,2010,,"Rajasthan Technical University, Kota","B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Library, IT Infrastructure, Laboratories",Rajota,Rajasthan,India,Private,244000.0
Vardey Devi Institute of Engineering and Technology,Co-Ed,,,85,,,"Kurukshetra University, Kurukshetra","B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Julana,Haryana,India,Private,177444.44444444444
KC Institute of Technology,Co-Ed,,250,104,2009,,"Himachal Pradesh Technical University, Hamirpur","B.Tech Civil Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room, Banks Facilities",Pandoga,Himachal Pradesh,India,Private,241666.66666666666
Vindhya Institute of Technology and Science,Co-Ed,,1020,131,2002,,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Raipur,Chhattisgarh,India,Private,127600.0
SVS Educational Park,Co-Ed,20 Acres,520,143,2010,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Meerut,Uttar Pradesh,India,Private,217857.14285714287
RD Foundation Group of Institutions,Co-Ed,13 Acres,60,82,2009,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store",Ghaziabad,Uttar Pradesh,India,Private,206066.66666666666
KLS Institute of Engineering and Technology,Co-Ed,,,75,2009,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Civil Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Library, Cafeteria, IT Infrastructure, Transport, Laboratories, Guest Room",Bijnor,Uttar Pradesh,India,Private,188666.66666666666
Institute of Technology and Management,Co-Ed,,,131,2008,,"Dr APJ Abdul Kalam Technical University, Lucknow","B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure",Panchli Khurd,Uttar Pradesh,India,Private,256000.0
Kishan Institute of Information Technology,Co-Ed,,48,12,2001,,"Dr APJ Abdul Kalam Technical University, Lucknow",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Meerut,Uttar Pradesh,India,Private,80875.0
BKR College of Engineering and Technology,,,,,,,,,,Thiruthani,Tamil Nadu,India,Private,147500.0
Babu Mohan Lal Arya Smarak Engineering College,Co-Ed,,,,1999,,"Dr APJ Abdul Kalam Technical University, Lucknow",B.Tech Electronics and Communication Engineering,"Boys Hostel, Girls Hostel, Gym, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure",Arsena,Uttar Pradesh,India,Private,300000.0
Shekhawati Girls Engineering College,Female,,,,2003,,"Rajasthan Technical University, Kota","B.Tech Electronics and Communication Engineering, B.Tech Electrical Engineering","Girls Hostel, Gym, Library, Sports, Cafeteria, Wifi, IT Infrastructure",Johar Ki Dhani,Rajasthan,India,Private,200000.0
NRI College of Engineering and Management,Co-Ed,,,60,2009,,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",,"Library, IT Infrastructure, Laboratories",Barauapichhore,Madhya Pradesh,India,Private,182000.0
Rajahmundry Engineering College,,,,157,,,,"B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering, B.Tech Civil Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Transport",Rajahmundry,Andhra Pradesh,India,Private,132571.42857142858
SV Institute of Engineering and Technology,,,,,,,,"B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Civil Engineering, B.Tech Mechanical Engineering",,Moinabad,Telangana,India,,128444.44444444444
Om Institute of Technology,Co-Ed,,350,50,2011,,"Gujarat Technological University, Ahmedabad",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories",Jokha,Gujarat,India,Private,164000.0
KDGM's Dr Uttamrao Mahajan Institute of Engineering and Technology,,,,34,,,,,"Boys Hostel, Library, Sports, Laboratories",Chalisgaon,Maharashtra,India,Private,81000.0
SDNCRES's Late Narayandas Bhawandas Chhabada Institute of Engineering and Technology,Co-Ed,,23,4,2008,,"Dr Babasaheb Ambedkar Technological University, Lonere","B.Tech Mechanical Engineering, B.Tech Civil Engineering","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room, Banks Facilities",Satara,Maharashtra,India,Private,218562.5
Devraj Group's Technical Campus,Co-Ed,,635,65,1936,,"Maharaja Ranjit Singh Punjab Technical University, Bathinda","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Guest Room, Banks Facilities",Firozpur,Punjab,India,Private,129571.42857142857
Shaheed Udham Singh Engineering College,Co-Ed,5 Acres,457,30,2008,,"IK Gujral Punjab Technical University, Jalandhar","B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Tangori,Punjab,India,Private,371000.0
Mother Terasa College of Engineering and Technology,Co-Ed,,874,100,2009,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories",Veerapatti,Tamil Nadu,India,Private,160000.0
Glocal School of Science and Technology,Co-Ed,,,21,2012,,"Glocal University, Saharanpur","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Parking Facility, Guest Room",Saharanpur,Uttar Pradesh,India,Private,317473.6842105263
Shree Pandit Nathulalji Vyas Technical Campus,Co-Ed,3 Acres,161,63,2004,,"Gujarat Technological University, Ahmedabad","B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Surendranagar,Gujarat,India,Private,206571.42857142858
Seshachala Institute of Engineering and Technology,Co-Ed,,,92,2011,,"Jawaharlal Nehru Technological University, Anantapur","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Library, Sports, Laboratories",Utharapukhandriga,Andhra Pradesh,India,Private,132571.42857142858
Maa Saraswati Institute of Engineering and Technology,Co-Ed,16 Acres,220,45,2009,,"Maharshi Dayanand University, Rohtak","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Sampal,Haryana,India,Private,210913.33333333334
Global Institute of Architecture,Co-Ed,6 Acres,162,17,2013,,"University of Calicut, Malappuram",,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Palakkad,Kerala,India,Private,300000.0
Sureya College of Engineering,Co-Ed,14 Acres,278,54,2012,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories",Avaravelli R.F.,Tamil Nadu,India,Private,160000.0
Infinity Institute of Technology,Co-Ed,,,94,2012,,,"B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Convenience Store",Allahabad,Uttar Pradesh,India,Private,251714.2857142857
Priyadarshini Institute of Technology and Management,Co-Ed,,,144,2008,,"Jawaharlal Nehru Technological University, Kakinada","B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Computer Science and Engineering, B.Tech Mechanical Engineering","Boys Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Alumni Associations",Pulladigunta,Andhra Pradesh,India,Private,126423.07692307692
Universal College of Engineering and Technology,Co-Ed,100 Acres,752,71,2011,,"Anna University, Chennai",,"Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Therkku Valliyoor,Tamil Nadu,India,Private,160000.0
E-Max Group of Institutions,Co-Ed,70 Acres,,79,2008,,"Kurukshetra University, Kurukshetra","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Convenience Store, Banks Facilities",Janetpur,Haryana,India,Private,214152.72727272726
Elizabeth College of Engineering and Technology,Co-Ed,,73,58,2013,,"Anna University, Chennai","B.Tech Civil Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Guest Room",Annamangalam,Tamil Nadu,India,Private,280000.0
Arifa Institute of Technology,Co-Ed,25 Acres,401,65,2019,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories",Nagapattinam,Tamil Nadu,India,Private,160000.0
Jainee College of Engineering and Technology,Co-Ed,,266,86,2013,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Dindigul,Tamil Nadu,India,Private,160000.0
Nelliandavar Institute of Technology,Co-Ed,,551,60,2013,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Pudupalayam,Tamil Nadu,India,Private,160000.0
Vishnu Lakshmi College of Engineering and Technology,Co-Ed,,32,121,2013,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Coimbatore,Tamil Nadu,India,Private,146666.66666666666
Ariyalur Engineering College,Co-Ed,19 Acres,529,50,2013,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories",Ariyalur,Tamil Nadu,India,Private,160000.0
Rajaas Engineering College,Co-Ed,,,278,1984,,"Anna University, Chennai",,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations",Adangarkulam,Tamil Nadu,India,Private,139444.44444444444
Shri USB College of Engineering and Management,Co-Ed,20 Acres,,,2009,,"Rajasthan Technical University, Kota","B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering, B.Tech Computer Science and Engineering, B.Tech Electronics and Communication Engineering","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories",Abu Road,Rajasthan,India,Private,140000.0
Universal Technical College,Co-Ed,11 Acres,,30,,,"Rajasthan Technical University, Kota","B.Tech Civil Engineering, B.Tech Computer Science and Engineering, B.Tech Electrical Engineering, B.Tech Electronics and Communication Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport",Jaipur,Rajasthan,India,Private,310000.0
Bal Krishna Institute of Technology,Co-Ed,5 Acres,187,61,2013,,"Rajasthan Technical University, Kota","B.Tech Computer Science and Engineering, B.Tech Civil Engineering, B.Tech Electrical Engineering, B.Tech Mechanical Engineering","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Classrooms, Transport",Kherajagpura,Rajasthan,India,Private,280000.0
Manoharbhai Patel Institute of Engineering and Technology,Co-Ed,60 Acres,597,24,2010,,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",,"Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations",Shahapur,Maharashtra,India,Private,218000.00000000003
