College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
Indian Institute of Technology Gandhinagar ,Co-Ed,400 Acres,1588,96,2008,,,"MT_ChemE, BT_ChemE, BT_ME, BT_CSE, BT_EE, BT_CE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Banks Facilities",Gandhinagar,Gujarat,India,Public/Government,432550.0
Indian Institute of Technology Ropar ,Co-Ed,500 Acres,1468,115,2008,,,"BT_EE, BT_ME, BT_CSE, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room",Rupnagar,Punjab,India,Public/Government,358525.45454545453
JC Bose University of Science and Technology,Co-Ed,20 Acres,3174,173,1969,3.08,,"BT_ME, BT_ME, BT_ME, BT_CSE, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_ECE, BT_CE, BT_CSE, BT_ECE, BT_ECE, BT_ECE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Faridabad,Haryana,India,Public/Government,248510.43956043955
National Institute of Technology Raipur ,Co-Ed,100 Acres,3785,242,1956,,,"BT_ECE, BT_EE, BT_ME, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Raipur,Chhattisgarh,India,Public/Government,377000.0
Institute of Engineering and Technology,Co-Ed,100 Acres,2545,63,1984,,"Dr APJ Abdul Kalam Technical University, Lucknow","BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Lucknow,Uttar Pradesh,India,Public/Government,265307.6923076923
Dr B R Ambedkar National Institute of Technology Jalandhar ,Co-Ed,154 Acres,3340,208,2002,,,"BT_CE, BT_ECE, BT_CSE, BT_ME, BT_ChemE, BT_EE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Jalandhar,Punjab,India,Public/Government,309872.7272727273
Heritage Institute of Technology,Co-Ed,,4261,205,2001,2.76,"Maulana Abul Kalam Azad University of Technology, Kolkata","BT_CSE, BT_ECE, BT_CE, BT_ME, BT_ChemE, BT_EE","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Kolkata,West Bengal,India,Private,326320.0
National Institute of Technology Hamirpur ,Co-Ed,320 Acres,3476,132,1986,,,"BT_EE, BT_CE, BT_ME, BT_CSE, BT_ECE, BT_ChemE","Boys Hostel, Girls Hostel, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Hamirpur,Himachal Pradesh,India,Public/Government,290307.8125
Maulana Abul Kalam Azad University of Technology,Co-Ed,40 Acres,409,20,2000,2.87,,"BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ChemE, BT_ChemE, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Kolkata,West Bengal,India,Public/Government,338536.7924528302
Shiv Nadar University,Co-Ed,286 Acres,2062,177,2011,2.85,,"BT_ChemE, BT_CE, BT_CSE, BT_ECE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations, Banks Facilities",Greater Noida,Uttar Pradesh,India,Private,542241.3793103448
