College Name,Courses,2021,2022,2023,2024
JC Bose University of Science and Technology, BT_EE,,,,
JC Bose University of Science and Technology, BT_EE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_ME,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_CE,,,,
JC Bose University of Science and Technology, BT_CSE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
JC Bose University of Science and Technology, BT_ECE,,,,
National Institute of Technology Raipur ,BT_ECE,,,,
National Institute of Technology Raipur , BT_EE,,,,
National Institute of Technology Raipur , BT_ME,,,,
National Institute of Technology Raipur , BT_CE,,,,
National Institute of Technology Raipur , BT_ChemE,,,,
National Institute of Technology Raipur , MT_ChemE,,,,
Institute of Engineering and Technology,BT_ChemE,,,,
Institute of Engineering and Technology, BT_CE,,,,
Institute of Engineering and Technology, BT_CSE,,,,
Institute of Engineering and Technology, BT_ECE,,,,
Institute of Engineering and Technology, BT_ME,,,,
Institute of Engineering and Technology, BT_EE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar ,BT_CE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_ECE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_CSE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_ME,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_ChemE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , BT_EE,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar , MT_ChemE,,,,
Heritage Institute of Technology,BT_CSE,,,,
Heritage Institute of Technology, BT_ECE,,,,
Heritage Institute of Technology, BT_CE,,,,
Heritage Institute of Technology, BT_ME,,,,
Heritage Institute of Technology, BT_ChemE,,,,
Heritage Institute of Technology, BT_EE,,,,
National Institute of Technology Hamirpur ,BT_EE,,,,
National Institute of Technology Hamirpur , BT_CE,,,,
National Institute of Technology Hamirpur , BT_ME,,,,
National Institute of Technology Hamirpur , BT_CSE,,,,
National Institute of Technology Hamirpur , BT_ECE,,,,
National Institute of Technology Hamirpur , BT_ChemE,,,,
Maulana Abul Kalam Azad University of Technology,BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ChemE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_EE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ECE,,,,
Maulana Abul Kalam Azad University of Technology, BT_ME,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
Maulana Abul Kalam Azad University of Technology, BT_CSE,,,,
